time,ppg0,ppg1,ppg2,ambient0
39.640923137499996,289008,279530,232946,-173210
39.65877515,288941,279505,232988,-173244
39.6766271625,288967,279650,233078,-173201
39.694479175,289028,279753,233185,-173190
39.7123311875,289073,279924,233315,-173191
39.7301832,289255,280100,233497,-173218
39.7480352125,289373,280384,233674,-173180
39.765887225,289541,280577,233849,-173182
39.7837392375,289584,280797,234078,-173198
39.801591249999994,289715,280954,234191,-173103
39.819443262499995,289838,281030,234347,-173174
39.837295274999995,289904,281080,234377,-173187
39.855147287499996,290059,281299,234495,-173211
39.8729993,290306,281469,234658,-173183
39.8729993,290747,282071,235114,-173143
39.89107834,290984,282465,235435,-173151
39.909157379999996,291288,282774,235642,-173173
39.92723642,291549,283180,235952,-173173
39.945315459999996,291790,283437,236176,-173181
39.9633945,292065,283838,236445,-173183
39.981473539999996,292325,284211,236728,-173190
39.99955258,292670,284583,236999,-173193
40.017631619999996,292873,284894,237290,-173181
40.03571066,293157,285279,237559,-173179
40.053789699999996,293548,285674,237925,-173178
40.07186874,293976,286012,238155,-173260
40.089947779999996,294243,286451,238456,-173212
40.10802682,294570,286828,238768,-173173
40.126105859999996,294895,287255,239008,-173218
40.1441849,295288,287580,239308,-173158
40.162263939999995,295587,288034,239644,-173176
40.18034298,295599,287783,239408,-173102
40.198422019999995,295794,287731,239279,-172714
40.21650106,295301,287778,239256,-173007
40.2345801,294837,287525,238753,-173002
40.25265914,294836,287452,238784,-173065
40.27073818,295346,287402,238627,-173238
40.28881722,295473,287594,238349,-173345
40.30689626,295247,287737,238829,-173417
40.3249753,295465,287667,238750,-173270
40.34305434,295799,287594,238469,-173249
40.36113338,295298,287937,238434,-173704
40.37921242,295040,287835,238936,-173921
40.39729146,294558,287770,238916,-174058
40.4153705,294249,287929,238948,-173741
40.43344954,294227,287868,238916,-173534
40.45152858,294610,287734,239411,-173539
40.46960762,294420,287637,239185,-173799
40.48768666,294162,287626,238921,-173400
40.5057657,294001,287242,239173,-173427
40.52384474,293854,287345,239605,-173043
40.54192378,293847,287328,239558,-172704
40.56000282,293735,287455,239813,-172699
40.57808186,293712,287158,239524,-172828
40.5961609,293970,287169,239449,-173029
40.5961609,293260,283650,237228,-173210
40.6142291275,293152,283496,237058,-173190
40.632297355,293095,283404,236990,-173134
40.6503655825,293109,283234,236916,-173168
40.66843381,293087,283229,236804,-173166
40.6865020375,293068,283144,236739,-173227
40.704570265,293170,283073,236818,-173222
40.7226384925,293220,283092,236851,-173205
40.74070672,293322,283066,236768,-173181
40.7587749475,293373,283033,236794,-173142
40.776843175,293590,283068,236737,-173209
40.7949114025,293744,283210,236807,-173180
40.81297963,293820,283228,236839,-173208
40.8310478575,293972,283301,236923,-173166
40.849116085,294148,283437,237016,-173229
40.8671843125,294300,283589,237110,-173176
40.88525254,294426,283651,237158,-173188
40.9033207675,294518,283787,237217,-173225
40.921388995,294671,283942,237303,-173171
40.9394572225,294896,284160,237468,-173144
40.957525450000006,295133,284259,237650,-173149
